Location,Habitat,Site,Year,Date.Deployed,Time.Deployed,Date.Collected,Time.Collected,Number.Deployed,Number.Recovered,Detachment.1.hour,Detachment.24.hour,Proportion Missing 1 hour,Proportion Missing 24 hours,Data.Collector,Notes,Lat,Long
CB,sand,Carrie Bow Sand,2015,9/25/15,11:30,9/26/15,11:30,25,25,5,NA,0.2,NA,RW,"not able to recover after 24 hours, total consumed at 48 hours = 23",16.80894,-88.08841
CB,sand,Carrie Bow Sand,2015,9/27/15,14:30,9/28/15,14:30,25,25,NA,25,NA,1,,no one hour measurement taken (see other Cbc.sand deployment for values),16.80894,-88.08841
CB,sand,Carrie Bow Sand,2016,20161028,940,20161029,1000,25,25,0,0,0,0,Whippo,,16.80894,-88.08841
CB,sand,Carrie Bow Sand,2017,20170929,1640,20170930,1645,25,22,1,22,0.04,1,Whippo/Jones,"overcast, calm, current/calm, overcast",7.3,"datasheet says 25 consumed, but only 22 recovered"
CB,seagrass,Carrie Bow Seagrass,2015,9/21/15,14:00,9/22/15,14:15,25,25,2,5,0.08,0.2,JS,,16.8025,-88.0825
CB,seagrass,Carrie Bow Seagrass,2016,20161027,1430,20161028,1430,25,25,0,0,0,0,Whippo,,16.8025,-88.0825
CB,seagrass,Carrie Bow Seagrass,2017,20171005,1345,,,25,25,12,25,0.48,1,Whippo / ?,"partly cloudy, windy",3,20 recorded with GoPro
CB,patch reef,Curlew Patch Reef,2015,9/22/15,14:54,9/23/15,15:54,25,25,24,25,0.96,1,JS,,16.78,-88.10123
CB,patch reef,Curlew Patch Reef,2016,20161101,1015,20161102,1015,25,25,17,25,0.68,1,Altieri,,16.78,-88.10123
CB,patch reef,Curlew Patch Reef,2017,20170928,1433,20170928,1533,25,25,25,25,1,1,Whippo,"sunny, calm / sunny, calm",5,20 filmed with GoPro
CB,sand,Curlew Sand,2015,9/24/15,16:45,9/25/15,16:00,25,25,0,0,0,0,RW,check done at 50 minutes,16.78734,-88.09379
CB,sand,Curlew Sand,2016,20161101,1055,20161102,1055,25,25,0,0,0,0,Altieri,,16.78734,-88.09379
CB,sand,Curlew Sand,2017,20170929,1550,20170930,1622,25,25,6,25,0.24,1,Jones/Whippo,"overcast, calm / overcast, calm",6.4,one knocked over at 24 hr retrieval 
CB,seagrass,Curlew Seagrass,2015,9/20/15,14:00,9/21/15,14:00,24,24,0,13,0,0.541666667,"VP, JS","25 deployed, 1 squid kicked loose and taken up before 1 hour, accounted for in deployment calcs",16.787278,-88.085056
CB,seagrass,Curlew Seagrass,2015,9/23/15,13:00,9/24/15,16:20,25,25,0,3,0,0.12,RW,,16.787278,-88.085056
CB,seagrass,Curlew Seagrass,2017,20170930,1433,,,25,25,0,15,0,0.6,Whippo / ?,"overcast, calm",,"16 filmed with GoPro, detachment at 24 hr marked as 15.5"
CB,fore reef,South Reef,2015,9/19/15,9:45,9/19/15,10:45,25,25,25,25,1,1,RW,,16.776183,-88.0754
CB,fore reef,South Reef,2016,20161029,1530,20161029,1630,25,25,25,25,1,1,,,16.776183,-88.0754
CB,fore reef,South Reef,2017,20171006,910,20171006,930,25,25,25,25,1,1,Whippo,"sunny, windy / sunny, windy",9.8,"20 filmed with GoPro, one eaten out of Lauries hand"
CB,mangrove,Twin Cays Mangrove,2015,9/26/15,15:45,9/27/15,14:50,25,25,8,25,0.32,1,DS,"in Twin Cays ""Lair""",16.828775,-88.104778
CB,mangrove,Twin Cays Mangrove,2017,20171008,,20171008,,25,25,25,25,1,1,Whippo,,,filmed with GoPro
CB,seagrass,Twin Cays Seagrass,2015,9/27/15,14:37,9/28/15,15:00,25,25,0,10,0,0.4,"RW, DS",,16.8237,-88.1029
CB,seagrass,Twin Cays Seagrass,2016,20161027,1455,20161028,1455,25,25,10,25,0.4,1,,,16.82385,-88.10277
CB,seagrass,Twin Cays Seagrass,2017,20171007,906,20171008,928,25,25,0,19,0,0.76,Whippo,"dead calm, sunny/sunny, breezy",2,
CB,mangrove,Tobacco Mangrove,2015,9/25/15,16:50,9/26/15,16:00,25,23,24,23,0.96,1,JS,,16.878533,-88.092642
CB,mangrove,Tobacco Mangrove,2016,20161030,1510,20161031,1015,25,25,0,25,0,1,Whippo,,16.878533,-88.092642
CB,mangrove,Tobacco Mangrove,2017,20171009,,20171010,920,25,25,19,25,0.76,1,Whippo / Goodison,,,20 filmed with GoPro
CB,fore reef,Tobacco Reef,2017,20170929,1030,20170929,1130,25,25,25,25,1,1,Whippo,"sunny, calm / sunny, calm",,20 filmed with GoPro
CB,fore reef,Tobacco Reef,2015,9/21/15,15:00,9/22/15,15:30,25,25,19,25,0.76,1,RW,,16.868278,-88.066167
CB,fore reef,Tobacco Reef,2016,20161031,1600,20161031,1700,25,25,25,25,1,1,Whippo,,16.868278,-88.066167
CB,sand,Tobacco Sand,2015,9/21/15,13:00,9/22/15,12:30,25,25,0,3,0,0.12,SJ,deployment time is estimate,16.883806,-88.073361
CB,sand,Tobacco Sand,2016,20161030,1535,20161031,1500,25,25,0,9,0,0.36,Whippo,,16.883806,-88.073361
CB,sand,Tobacco Sand,2017,20170928,1420,20170929,,25,25,11,25,0.44,1,Frost/Whippo,"overcast, calm ",,
CB,seagrass,Tobacco Seagrass,2015,9/25/15,16:50,9/26/15,16:00,25,22,19,22,0.76,1,JS,,16.874383,-88.093816
